"order_num","detail_no","description","quantity","unit_price","amount"
"140453","1","NUCARE  可倍力營養飲(草莓風味) 200ml","2","57","114"
"140456","1","惠幼|加纖無糖 棗露|330ml","3","99","297"
"140460","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","1","2200","2200"
"140464","1","付款折扣","0","0","-100"
"140464","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140467","1","付款折扣","0","0","-100"
"140467","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140468","1","付款折扣","0","0","-100"
"140468","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140471","1","付款折扣","0","0","-100"
"140471","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140475","1","付款折扣","0","0","-100"
"140475","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140477","1","付款折扣","0","0","-100"
"140477","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140478","1","導尿包(國發)","4","64","256"
"140479","1","付款折扣","0","0","-100"
"140479","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140480","1","付款折扣","0","0","-100"
"140480","2","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140482","1","付款折扣","0","0","-40"
