"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"ca0d9c15","46-50歲","女","高雄市","愛搜愛比網購客"
"6ee5346d","41-45歲","女","新竹市","物質享樂衝購族"
"6ff1c850","31-35歲","女","新竹縣","物質享樂衝購族"
"a1c4c6c0","51-55歲","女","嘉義市","網購社媒手機迷"
"e443948e","56-60歲","女","台中市","品味養生理財貴族"
"24c2e180","41-45歲","女","桃園市","傳統保健理財族"
"8d1e3c97","51-55歲","女","桃園市","網購社媒手機迷"
"e9702269","41-45歲","女","新北市","品味養生理財貴族"
"ef9b557d","31-35歲","男","台南市","樂動廣告品牌控"
"e0c057ff","46-50歲","女","台中市","物質享樂衝購族"
"546d2b9b","26-30歲","女","新北市","運動科技潮人"
"1b3e1d34","36-40歲","女","台北市","品味養生理財貴族"
"ca6f7023","61-65歲","女","新北市","傳統保健理財族"
"9e1de577","21-25歲","男","新竹市","運動科技潮人"
"42254c4d","31-35歲","女","台中市","健康愛家定存控"
"5a6936bc","46-50歲","男","新竹市","愛搜愛比網購客"
"3232f766","41-45歲","女","台南市","品味養生理財貴族"
"724b5df3","46-50歲","女","苗栗縣","樂動廣告品牌控"
"a17ded77","36-40歲","女","新北市","獨立愛遊理財新手"
"4ff4b696","56-60歲","女","台北市","品味養生理財貴族"
"e90b4e57","61-65歲","女","台北市","品味養生理財貴族"
"13325df0","31-35歲","男","台中市","運動科技潮人"
"225f39cb","46-50歲","女","新北市","品味養生理財貴族"
"8b65da83","56-60歲","女","新竹縣","品味養生理財貴族"
"00f4fb5d","61-65歲","女","台東縣","獨立愛遊理財新手"
"2ca943d5","36-40歲","女","新北市","網購社媒手機迷"
"619e637e","31-35歲","女","台北市","獨立愛遊理財新手"
"29441844","36-40歲","女","高雄市","健康愛家定存控"
"62c657a6","36-40歲","男","台中市","健康愛家定存控"
"8aefeb93","41-45歲","男","屏東縣","運動科技潮人"
"7141fefb","41-45歲","女","桃園市","運動科技潮人"
"32877bc9","56-60歲","女","台中市","傳統保健理財族"
"e2fe669e","31-35歲","女","高雄市","物質享樂衝購族"
"77060fbc","41-45歲","女","高雄市","品味養生理財貴族"
"27b9ce1b","31-35歲","男","高雄市","運動科技潮人"
"70f520ab","36-40歲","男","新北市","樂動廣告品牌控"
"452b7a25","46-50歲","女","新北市","獨立愛遊理財新手"
"3402967f","31-35歲","男","台中市","運動科技潮人"
"9e37c7fe","31-35歲","女","台北市","物質享樂衝購族"
