"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"5e2b093e","31-35歲","男","新竹市","運動科技潮人"
"89a3fce3","26-30歲","女","新北市","獨立愛遊理財新手"
"c4610498","36-40歲","女","台北市","物質享樂衝購族"
"3db67abe","36-40歲","女","苗栗縣","網購社媒手機迷"
"11fb055e","41-45歲","女","新北市","品味養生理財貴族"
"88326fcc","46-50歲","女","台南市","網購社媒手機迷"
"15c6c855","31-35歲","男","新北市","運動科技潮人"
"c44a9666","36-40歲","女","南投縣","健康愛家定存控"
"e738888a","31-35歲","女","台中市","物質享樂衝購族"
"fc76bfab","26-30歲","女","桃園市","品味養生理財貴族"
"35cfa5fe","46-50歲","女","台北市","網購社媒手機迷"
"2c09616d","36-40歲","女","彰化縣","物質享樂衝購族"
"ab2036f6","31-35歲","女","苗栗縣","健康愛家定存控"
"3f719349","31-35歲","女","新北市","物質享樂衝購族"
"c1f3a107","51-55歲","女","彰化縣","網購社媒手機迷"
"c2cbd79d","51-55歲","女","台北市","傳統保健理財族"
"9a6e761b","31-35歲","女","新北市","網購社媒手機迷"
"9bd23c93","36-40歲","女","台中市","樂動廣告品牌控"
"082ea50b","31-35歲","女","新竹縣","樂動廣告品牌控"
"e3acb13e","41-45歲","女","新竹縣","運動科技潮人"
"f92baaa3","46-50歲","女","新北市","健康愛家定存控"
"0c827d25","41-45歲","女","彰化縣","網購社媒手機迷"
"d746d17f","31-35歲","男","新竹縣","運動科技潮人"
"b9121cb9","46-50歲","女","新竹縣","樂動廣告品牌控"
"3b9bdfde","36-40歲","女","台南市","網購社媒手機迷"
"e718dde5","36-40歲","男","新竹縣","運動科技潮人"
"840c813c","41-45歲","女","新竹縣","網購社媒手機迷"
"8819db9e","36-40歲","女","新竹縣","獨立愛遊理財新手"
"f739c9e6","36-40歲","男","新竹市","運動科技潮人"
"98919bbd","56-60歲","女","新竹縣","品味養生理財貴族"
"c849ac7a","26-30歲","女","新北市","健康愛家定存控"
"102dd508","31-35歲","女","新北市","運動科技潮人"
"1bfcaa13","46-50歲","男","花蓮縣","愛搜愛比網購客"
"7a02e8ad","31-35歲","女","台南市","物質享樂衝購族"
"e41a2aa8","41-45歲","女","新竹縣","物質享樂衝購族"
"b7e3c8d6","31-35歲","女","新竹縣","網購社媒手機迷"
"1d3072ee","41-45歲","男","新北市","運動科技潮人"
"8ef24a57","41-45歲","男","台南市","樂動廣告品牌控"
"32fcf327","46-50歲","女","桃園市","品味養生理財貴族"
"95e825a2","51-55歲","女","新竹縣","樂動廣告品牌控"
"4b2ad086","46-50歲","女","新北市","樂動廣告品牌控"
"bf0ed2c8","46-50歲","女","新竹市","樂動廣告品牌控"
"9a6dfde7","51-55歲","男","台北市","運動科技潮人"
"6536b326","36-40歲","男","新北市","樂動廣告品牌控"
"8617e16c","36-40歲","女","新竹縣","傳統保健理財族"
"4ec039be","36-40歲","男","桃園市","網購社媒手機迷"
"d1a2bec7","41-45歲","男","台南市","健康愛家定存控"
"6696df84","46-50歲","女","苗栗縣","網購社媒手機迷"
"20b9db08","46-50歲","男","台北市","健康愛家定存控"
"553e2bdc","46-50歲","女","宜蘭縣","獨立愛遊理財新手"
"96adc209","51-55歲","女","台南市","品味養生理財貴族"
"a7b980f6","41-45歲","男","台北市","運動科技潮人"
"3d6640a1","41-45歲","女","新北市","運動科技潮人"
"031fc4cd","31-35歲","男","桃園市","運動科技潮人"
"5b47c17b","46-50歲","女","桃園市","品味養生理財貴族"
"9537ae22","31-35歲","女","台中市","獨立愛遊理財新手"
"60e74ee1","31-35歲","女","新北市","品味養生理財貴族"
"691e1b03","51-55歲","女","新竹市","品味養生理財貴族"
"14acad35","26-30歲","男","台南市","樂動廣告品牌控"
"81cc5fdd","36-40歲","男","新竹市","運動科技潮人"
"a1599b15","51-55歲","男","新北市","運動科技潮人"
"e7ffb5c1","41-45歲","女","台南市","物質享樂衝購族"
"26f6b298","51-55歲","女","高雄市","樂動廣告品牌控"
"ee5409be","31-35歲","女","新北市","物質享樂衝購族"
"c0bf8dbe","41-45歲","女","苗栗縣","物質享樂衝購族"
"8f352a61","41-45歲","男","新竹縣","運動科技潮人"
"6be09171","56-60歲","女","花蓮縣","愛搜愛比網購客"
"5ad97a58","36-40歲","男","新竹縣","運動科技潮人"
"86a1d793","61-65歲","女","台南市","樂動廣告品牌控"
"4f71616c","26-30歲","女","苗栗縣","健康愛家定存控"
"cde7a075","41-45歲","女","新竹縣","樂動廣告品牌控"
"3c7bf029","41-45歲","女","新北市","網購社媒手機迷"
"5ac36d28","36-40歲","男","台中市","運動科技潮人"
"ebc293ca","31-35歲","女","南投縣","物質享樂衝購族"
"be13a34d","51-55歲","女","新竹縣","運動科技潮人"
"2c013c7e","31-35歲","女","新竹縣","網購社媒手機迷"
"74f0f4e3","26-30歲","女","台南市","網購社媒手機迷"
"920c318d","46-50歲","女","苗栗縣","健康愛家定存控"
"7e1ceb50","41-45歲","男","台中市","運動科技潮人"
"d0397bc0","41-45歲","女","新竹縣","健康愛家定存控"
"03aa2d91","46-50歲","女","新竹縣","獨立愛遊理財新手"
"02a30772","46-50歲","女","台北市","傳統保健理財族"
"9ab5bd7b","41-45歲","女","新北市","愛搜愛比網購客"
"f3f6931a","56-60歲","女","新北市","品味養生理財貴族"
"75912315","51-55歲","女","新北市","品味養生理財貴族"
"35052197","41-45歲","女","台中市","物質享樂衝購族"
"b0747734","31-35歲","男","桃園市","運動科技潮人"
"4ff99895","51-55歲","女","新北市","品味養生理財貴族"
