"order_num","detail_no","description","quantity","unit_price","amount"
"306","1","百嬌客小動物時光隧道大","1","280","280"
"363","3","其他支付媒體","1","0","0"
"372","2","總折價","1","0","0"
"372","1","包月/美容服務","1","100","100"
"271","1","凱莉廚房貓用營養凍乾-綜合海鮮40g","2","220","440"
"381","2","總折價","1","0","0"
"370","3","其他支付媒體","1","0","0"
"267","1","星記雞肉磨牙餅(中)102g","1","210","210"
"290","2","林克博士低敏主食貓罐-火雞肉200g","1","125","125"
"389","1","CoCo餐罐(羊肉+雞肉+起司)80g","1","24","24"
"389","5","其他支付媒體","1","0","0"
"272","6","總折價","1","-149","-149"
"272","3","原燒貓罐(除毛球)白身鮪魚+鮭魚80g","2","29","58"
"272","5","原燒貓罐(除毛球)白身鮪魚+牛肉80g","2","29","58"
"305","5","雞老大健腸牛肉圓片(含益生菌)165g±5%","1","189","189"
"304","2","SHN皇家大型成犬MXA 10KG","1","2600","2600"
"321","1","元氣犬罐(橘)雞肉+南瓜80g","6","31","186"
"604","2","總折價","1","-16","-16"
"468","21","其他支付媒體","1","0","0"
"564","3","其他支付媒體","1","0","0"
"549","2","卡爾天然松木砂5kg","1","270","270"
"565","3","其他支付媒體","1","0","0"
"627","2","鮮咬一口-機能保健凍乾-3056咕咕雞30g","1","250","250"
"504","13","長靴貓無穀無膠湯罐-鮪魚+金槍魚","2","27","54"
"626","2","總折價","1","-10","-10"
"480","5","其他支付媒體","1","0","0"
"523","7","原燒貓罐(除毛球)雞肉+鮪魚+吻仔魚80g","1","29","29"
"523","11","怪獸-貓族鮮肉主食糧250g（竹筴魚）","1","420","420"
"440","3","其他支付媒體","1","0","0"
"108","3","其他支付媒體","1","0","0"
"487","5","其他支付媒體","1","0","0"
"523","10","其他支付媒體","1","0","0"
"505","3","其他支付媒體","1","0","0"
"604","1","CattyMan-澳洲貓用牛奶成貓用200ml","1","65","65"
"482","1","包月/美容服務","1","200","200"
"468","7","Hello Fresh好鮮清蒸鮪魚50g","1","24","24"
"523","2","汪喵-貓咪98%鮮肉主食罐80g-鱈魚雞肉","1","51","51"
"502","1","BHN皇家貴賓成犬PDA 3KG","1","1320","1320"
"459","3","優豆養生香脆豆腐角15g","1","140","140"
"455","1","莫比愛貓無穀配方(鹿肉+鮭魚)1.5kg","1","890","890"
"2802","1","包月/美容服務","1","600","600"
"2837","2","怪獸-貓族寶寶無膠主食罐82g 咕咕雞","1","51","51"
"2718","14","特級銀貓大罐(鮮嫩雞肉)170g","1","44","44"
"2769","7","燒肉工房BQ101#1蜜汁香醇雞腿片170g±5%","1","220","220"
"2759","1","比利時 咕咕氂牛起司棒 M  (12隻/盒)","2","180","360"
"2795","1","CIAO特齡罐11歲42號(鰹)75g","2","55","110"
"2811","4","其他支付媒體","1","0","0"
"533","1","美麗多木質墊料(小顆粒)-2kg","1","405","405"
"551","3","Miki牛肉湯凍餐杯(雞絲雞丁+牛)80g","2","28","56"
"621","5","冠能成貓鮭魚活力配方7kg","1","2610","2610"
"545","1","包月/美容服務","1","500","500"
"523","6","原燒貓罐(除毛球)白身鮪魚+牛肉80g","1","29","29"
"558","2","總折價","1","0","0"
"504","9","SHEBA 誘惑泥 雞肉+雞肉及白身魚口味 48g","2","99","198"
"488","2","希爾思6446 室內成貓7歲雞肉特調食譜3.5lb","1","990","990"
"615","2","xMax Molly-智能ID項圈(貓)-異國風情","1","475","475"
"599","3","總折價","1","-180","-180"
"533","2","總折價","1","-559","-559"
"459","7","總折價","1","-498","-498"
"611","1","卡爾豆腐貓砂-原味6L","2","420","840"
"553","5","總折價","1","-160","-160"
"622","5","其他支付媒體","1","0","0"
"523","15","原燒貓罐(除毛球)雞肉+鮪魚+鮭魚80g","1","29","29"
"487","2","益菌?革命-寵物專用濕式衛生紙(升級版)(20抽)","1","79","79"
"602","2","總折價","1","-41","-41"
"561","2","瑞威全犬2號森林燉雞500g","1","290","290"
"488","6","折扣活動總金額(含購物金)","1","-137","-137"
"468","4","原燒貓罐(除毛球)雞肉+鮪魚+吻仔魚80g","1","29","29"
"548","4","其他支付媒體","1","0","0"
"3004","2","AM寵物尿褲生理褲-M18入","1","299","299"
"2893","2","總折價","1","0","0"
"1412","6","其他支付媒體","1","0","0"
"3009","1","好多魚逗貓棒","1","240","240"
"2987","4","CoCo餐罐(鮮嫩雞肉+起司+蔬菜)80g","1","24","24"
"3045","7","總折價","1","-645","-645"
"2907","7","其他支付媒體","1","0","0"
"2949","5","銀貓罐頭(白身鮪魚+起司)80g","1","25","25"
"2943","8","總折價","1","-202","-202"
"681","3","汪洽普健胃牛肉雙層棒棒糖20g/單支","2","35","70"
"2880","2","總折價","1","-16","-16"
"2936","9","鯖食家燉湯貓罐(鯖魚+雞肉)170g","1","33","33"
"2951","6","特級金貓大罐(鮪+雞+牛)170g","2","44","88"
"2940","4","沃野天然原型凍乾零食-柳葉魚(6隻)","1","180","180"
"2936","15","特級銀貓大罐(白身鮪+吻仔)170g","1","44","44"
"2960","6","CIAO啾嚕肉泥-鮪魚+鮭魚14g*4入","1","100","100"
"2863","6","SHEBA鮮饌包鮪+蟹肉(魚凍)70g/E26113","1","39","39"
"2894","9","CIAO啾嚕肉泥-鰹魚肉塊14g*4入","3","100","300"
"2900","1","希爾思2533小型犬11歲以上雞肉大麥糙米特調食譜2kg","1","1150","1150"
"3028","11","CIAO啾嚕肉泥-奢華鮪魚+龍蝦14g*4入","1","100","100"
"2879","4","CIAO啾嚕肉泥-電解質水分補給(雞肉)14g*4入","3","110","330"
"3004","4","西莎蒸鮮包成犬(雞+蔬菜)70g","1","36","36"
"2954","7","總折價","1","-558","-558"
"2997","23","幸福時光貓營養主食1號罐雞肉+鮪+鮭魚80g","1","61","61"
"2914","2","折扣活動總金額","1","-13","-13"
"2883","3","總折價","1","-281","-281"
"2990","5","其他支付媒體","1","0","0"
"2889","3","其他支付媒體","1","0","0"
"2867","5","特百滋凍乾雙饗宴-熟齡貓低敏火雞配方5lb","1","1230","1230"
"3028","13","總折價","1","-1471","-1471"
"2868","4","CatFeet呼嚕愛乾淨蔓越莓化毛潔牙餅(鮪魚)60g","1","85","85"
"2949","1","好快樂寵物毛魚油-25入裝(6顆/入)","2","1300","2600"
"3018","2","總折價","1","-88","-88"
"670","4","銀湯匙三星美食喵湯匙肉泥雞胸肉鮭魚風味10g*4","1","89","89"
"773","7","CIAO本鰹燒魚柳條-柴魚片口味30g","1","57","57"
"754","4","CHARM野性魅力-雞肉佐鮪魚貓罐80g","2","41","82"
"770","2","總折價","1","-120","-120"
"774","1","優豆倉鼠沐浴砂-薰衣草1000g","1","139","139"
"693","13","其他支付媒體","1","0","0"
"707","6","總折價","1","-66","-66"
"780","10","總折價","1","-87","-87"
"690","6","(珍)關健時刻夾心雞肉條-心血管保健150g","1","280","280"
"637","1","FHN皇家離乳貓BC34 2KG","1","1080","1080"
"767","2","西莎餐盒風味蒔蘿焗烤菲力牛100g","1","44","44"
"815","3","其他支付媒體","1","0","0"
