"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"b35062e8","46-50歲","女","新北市","獨立愛遊理財新手"
"94a9f448","46-50歲","男","新竹縣","愛搜愛比網購客"
"35baf8cd","51-55歲","男","台北市","運動科技潮人"
"c5108c35","41-45歲","女","新竹市","獨立愛遊理財新手"
"6a45b0a9","26-30歲","女","新北市","物質享樂衝購族"
"ac1cffd0","41-45歲","男","桃園市","運動科技潮人"
"fa5ff143","36-40歲","男","桃園市","運動科技潮人"
"5ba32df0","61-65歲","男","桃園市","運動科技潮人"
"810d9d65","61-65歲","男","桃園市","愛搜愛比網購客"
"86067dfd","31-35歲","女","新竹市","獨立愛遊理財新手"
"ebd53821","41-45歲","男","新北市","運動科技潮人"
"83992931","41-45歲","女","桃園市","傳統保健理財族"
"db3b00ed","41-45歲","女","新竹市","傳統保健理財族"
"5bf6c5b2","56-60歲","女","新竹縣","健康愛家定存控"
"d744ee80","51-55歲","女","新北市","樂動廣告品牌控"
"136aa9b1","31-35歲","女","台北市","獨立愛遊理財新手"
"5f97919e","36-40歲","男","新北市","運動科技潮人"
"7b81ec38","41-45歲","女","桃園市","獨立愛遊理財新手"
"5da978c6","41-45歲","女","新竹市","品味養生理財貴族"
"2907e621","46-50歲","男","新竹市","運動科技潮人"
"cd469cc5","46-50歲","女","新北市","物質享樂衝購族"
"74af1b1b","36-40歲","女","桃園市","健康愛家定存控"
"9c7f29f2","51-55歲","女","新竹縣","傳統保健理財族"
"761c4b0e","41-45歲","女","苗栗縣","愛搜愛比網購客"
"4fca6405","41-45歲","女","桃園市","網購社媒手機迷"
"272f4f3a","31-35歲","女","高雄市","健康愛家定存控"
"d9bc716b","46-50歲","女","新北市","品味養生理財貴族"
"3c72f825","36-40歲","男","台南市","運動科技潮人"
"d011a4cf","46-50歲","男","台中市","愛搜愛比網購客"
"d6027a81","31-35歲","女","新北市","樂動廣告品牌控"
"c8431914","26-30歲","女","花蓮縣","物質享樂衝購族"
"e27a0bc5","41-45歲","女","新竹市","獨立愛遊理財新手"
"f722e1a2","46-50歲","男","台中市","健康愛家定存控"
"910e0bfe","46-50歲","女","雲林縣","樂動廣告品牌控"
"29dd6e15","31-35歲","男","新北市","運動科技潮人"
"4ca7d8a0","46-50歲","女","新北市","品味養生理財貴族"
"c3f1326d","51-55歲","男","高雄市","網購社媒手機迷"
"fb16aad3","46-50歲","男","高雄市","運動科技潮人"
"70bb29ca","31-35歲","男","桃園市","健康愛家定存控"
"683c9cfb","36-40歲","女","宜蘭縣","健康愛家定存控"
"930aa465","46-50歲","女","新竹市","品味養生理財貴族"
"cee2cff4","51-55歲","女","台北市","運動科技潮人"
"4bc1011c","41-45歲","女","新竹縣","品味養生理財貴族"
"9c75ad87","46-50歲","女","新竹縣","物質享樂衝購族"
"ccad2584","46-50歲","女","台北市","品味養生理財貴族"
"7bd4a4d9","41-45歲","女","台中市","獨立愛遊理財新手"
"5f021f7d","46-50歲","女","桃園市","品味養生理財貴族"
"46dd06cd","36-40歲","男","新北市","樂動廣告品牌控"
"46c902a1","36-40歲","女","台南市","傳統保健理財族"
"1c06d51b","31-35歲","女","台北市","網購社媒手機迷"
"7454cc7a","36-40歲","女","南投縣","健康愛家定存控"
"ccd02e96","41-45歲","女","台北市","獨立愛遊理財新手"
"62c479e9","46-50歲","女","新竹市","愛搜愛比網購客"
"8d9f2309","41-45歲","男","新竹縣","運動科技潮人"
"1d04a114","36-40歲","女","新北市","健康愛家定存控"
"e4264d0f","36-40歲","女","新竹市","物質享樂衝購族"
"15f284b8","36-40歲","女","新北市","傳統保健理財族"
"db5f8682","41-45歲","男","屏東縣","運動科技潮人"
"260f640d","41-45歲","女","新竹縣","樂動廣告品牌控"
"c48f624a","46-50歲","女","新竹縣","物質享樂衝購族"
"ff40ff2d","46-50歲","男","新北市","愛搜愛比網購客"
"161eb9e0","51-55歲","女","高雄市","獨立愛遊理財新手"
"7a88768d","46-50歲","男","台北市","運動科技潮人"
"78fb6034","31-35歲","女","彰化縣","健康愛家定存控"
"b355d8ab","36-40歲","女","新竹縣","健康愛家定存控"
"468c3bf1","36-40歲","女","台北市","健康愛家定存控"
"cac2153f","41-45歲","女","彰化縣","品味養生理財貴族"
"bb32b8b2","56-60歲","男","新北市","愛搜愛比網購客"
"63c1109e","31-35歲","男","新北市","樂動廣告品牌控"
"66973c46","41-45歲","女","新竹市","樂動廣告品牌控"
"9e1d4e8d","51-55歲","男","彰化縣","樂動廣告品牌控"
"8dd9a8e6","36-40歲","女","桃園市","健康愛家定存控"
"d43a965f","46-50歲","女","高雄市","健康愛家定存控"
"b85df013","36-40歲","男","新竹縣","樂動廣告品牌控"
"3c8b735c","31-35歲","女","高雄市","物質享樂衝購族"
"5a62d002","31-35歲","女","新竹縣","樂動廣告品牌控"
"0b5bc8af","31-35歲","女","台北市","網購社媒手機迷"
"82a71871","46-50歲","女","新北市","品味養生理財貴族"
"5d967e6f","41-45歲","男","台中市","運動科技潮人"
"52e43f15","41-45歲","女","高雄市","健康愛家定存控"
"cd86ad3d","31-35歲","女","台中市","品味養生理財貴族"
"d6c3242a","61-65歲","男","台中市","樂動廣告品牌控"
